  563021881 function calls (543904580 primitive calls) in 3155.995 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   353282    0.588    0.000    5.622    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/session.py:419(_transaction_closed_handler)
  9610985    2.611    0.000    5.616    0.000 /usr/lib/python3.12/encodings/utf_8.py:15(decode)
   353282    1.767    0.000    5.394    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_work/summary.py:104(__init__)
   353282    0.632    0.000    5.254    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_work/summary.py:206(summary_notifications)
 13289512    5.252    0.000    5.252    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:492(read)
  2584703    2.525    0.000    5.219    0.000 /usr/lib/python3.12/inspect.py:405(_has_coroutine_mark)
  4816124    2.273    0.000    4.856    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_conf.py:35(iter_items)
   353282    0.560    0.000    4.718    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/session.py:143(_disconnect)
  1413128    1.279    0.000    4.517    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:77(_inject_hooks)
  1766410    2.440    0.000    4.453    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/graph/__init__.py:51(__init__)
  6824087    2.755    0.000    4.329    0.000 /usr/lib/python3.12/logging/__init__.py:1517(debug)
   353282    0.466    0.000    4.159    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/workspace.py:288(_disconnect)
  1524857    1.631    0.000    3.874    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:463(_unpack_structure_header)
   353282    1.988    0.000    3.693    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_pool.py:467(release)
  1766410    2.776    0.000    3.667    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:220(__setattr__)
 10338812    2.290    0.000    3.577    0.000 /usr/lib/python3.12/inspect.py:299(ismethod)
   706564    0.646    0.000    3.384    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:181(__init__)
  1413128    1.039    0.000    3.367    0.000 /usr/lib/python3.12/contextlib.py:299(helper)
   353282    0.519    0.000    3.328    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_pool.py:195(_acquire_from_pool_checked)
 16592036    3.328    0.000    3.328    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:499(read_u8)
  1413128    2.872    0.000    3.238    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/hydration/_common.py:36(extend)
   353282    0.373    0.000    3.218    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/driver.py:638(_prepare_session_config)
